,forecast
2024-10-31,12.065160331933225
2024-11-30,12.51935911152286
2024-12-31,12.653714304429094
2025-01-31,12.830131604015484
2025-02-28,12.641217185700532
2025-03-31,12.441256150409648
2025-04-30,12.056784355662268
2025-05-31,11.765357992363663
2025-06-30,11.515281135486408
2025-07-31,11.47391921710881
2025-08-31,11.577136918835347
2025-09-30,11.85382695822178
2025-10-31,12.18529727656142
2025-11-30,12.51407526893102
2025-12-31,12.72578366474433
2026-01-31,12.781699569344738
2026-02-28,12.652392212857798
2026-03-31,12.384001774078612
